repository,pr_number,author,primary_reviewer,first_review_latency_hours,discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
supabase/supabase,42608,CoolAssPuppy,pamelachia,0.04,3,10,45,0.96,110,Core Reviewer
supabase/supabase,42606,joshenlim,alaister,0.13,3,17,682,0.96,696,Core Reviewer
supabase/supabase,42605,joshenlim,alaister,0.08,3,8,682,0.96,696,Core Reviewer
supabase/supabase,42604,kiwicopple,coderabbitai,0.06,7,47,81,0.94,43,Core Reviewer
supabase/supabase,42602,alaister,joshenlim,0.97,3,105,162,0.96,723,Core Reviewer
supabase/supabase,42601,ge8,coderabbitai,0.05,4,4,2,1.0,0,Reliable Author
supabase/supabase,42591,joshenlim,alaister,0.0,5,340,682,0.96,696,Core Reviewer
supabase/supabase,42588,supabase-supabase-autofixer,ivasilov,13.73,2,25,0,0.0,0,Novice
supabase/supabase,42572,filipecabaco,coderabbitai,0.06,5,73,33,0.91,25,Core Reviewer
supabase/supabase,42571,awaseem,saltcod,14.12,3,8,140,0.91,257,Core Reviewer
supabase/supabase,42570,awaseem,charislam,0.52,3,88,140,0.91,257,Core Reviewer
supabase/supabase,42568,awaseem,coderabbitai,0.23,5,1541,140,0.91,257,Core Reviewer
supabase/supabase,42565,awaseem,charislam,0.37,3,219,140,0.91,257,Core Reviewer
supabase/supabase,42563,charislam,awaseem,0.03,6,80,366,0.92,846,Core Reviewer
supabase/supabase,42561,awaseem,coderabbitai,0.07,6,127,140,0.91,257,Core Reviewer
supabase/supabase,42559,CoolAssPuppy,coderabbitai,0.05,4,21,45,0.96,110,Core Reviewer
supabase/supabase,42557,supabase-supabase-autofixer,joshenlim,47.97,4,315938,0,0.0,0,Novice
supabase/supabase,42556,supabase-supabase-autofixer,ivasilov,47.29,3,110,0,0.0,0,Novice
supabase/supabase,42554,joshenlim,ivasilov,0.03,4,9,682,0.96,696,Core Reviewer
supabase/supabase,42551,joshenlim,coderabbitai,0.09,6,321,682,0.96,696,Core Reviewer
supabase/supabase,42550,joshenlim,coderabbitai,0.09,4,121,682,0.96,696,Core Reviewer
supabase/supabase,42549,joshenlim,coderabbitai,0.09,4,153,682,0.96,696,Core Reviewer
supabase/supabase,42548,dnywh,coderabbitai,0.09,11,735,145,0.89,64,Core Reviewer
supabase/supabase,42546,SaxonF,coderabbitai,0.18,4,12,207,0.87,52,Core Reviewer
