repository,pr_number,author,primary_reviewer,first_review_latency_hours,discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,66149,PrafulVRaj,majestic-owl448,0.75,1,14,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,66147,AdityaSingh-18,Jeevankumar-s,0.07,4,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66143,gangulysiddhartha22-cmyk,majestic-owl448,1.91,1,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66141,camperbot,DanielRosa74,0.61,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66140,Jeevankumar-s,majestic-owl448,6.54,2,24,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,66133,camperbot,majestic-owl448,5.89,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66130,imsanupm,majestic-owl448,0.03,5,4,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66128,ojeytonwilliams,raisedadead,2.02,6,13,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,66126,AdityaSingh-18,majestic-owl448,0.03,1,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66124,ash-win19,majestic-owl448,1.0,13,8,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66122,cesarinsalad,majestic-owl448,19.51,3,4,7,0.14,0,Noisy Author
freeCodeCamp/freeCodeCamp,66120,nieldakarla,copilot-pull-request-reviewer,0.84,3,37,27,0.89,148,Core Reviewer
freeCodeCamp/freeCodeCamp,66116,iAakash1,majestic-owl448,0.14,4,9,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66115,estefaniacn,nieldakarla,0.2,3,537,41,0.95,13,Core Reviewer
freeCodeCamp/freeCodeCamp,66113,lockinginfor2026-arch,majestic-owl448,18.46,2,14,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66112,thefool309,majestic-owl448,1.16,1,28,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66111,camperbot,ojeytonwilliams,0.43,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66110,ojeytonwilliams,DanielRosa74,0.1,1,12,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,66106,AdityaSingh-18,majestic-owl448,3.58,2,180,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66103,AdityaSingh-18,majestic-owl448,45.54,1,3,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66097,AdityaSingh-18,majestic-owl448,0.09,4,5,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66088,camperbot,Sembauke,5.51,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66082,Aryankpoor,gikf,6.7,2,8,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,66080,jordantrent,gikf,6.81,2,12,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66038,farchettiensis,a2937,1.57,2,2,10,0.9,0,Reliable Author
freeCodeCamp/freeCodeCamp,66030,AdityaSingh-18,Jeevankumar-s,17.0,4,6,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,66027,ragini-pandey,majestic-owl448,1.23,3,8,5,0.4,0,Noisy Author
freeCodeCamp/freeCodeCamp,66026,Sembauke,ojeytonwilliams,0.06,1,3,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66024,Sembauke,estefaniacn,56.13,2,7,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66023,Supravisor,majestic-owl448,3.31,1,2,144,0.9,1,Reliable Author
freeCodeCamp/freeCodeCamp,66020,moT01,nieldakarla,0.08,1,12,146,0.97,392,Core Reviewer
freeCodeCamp/freeCodeCamp,66015,yeonjuan,raisedadead,2.75,2,222,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66013,Sembauke,raisedadead,4.6,2,110,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66012,camperbot,Sembauke,0.25,1,2804,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,66011,Sembauke,raisedadead,1.2,1,95,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,66004,MostafaElsehy,majestic-owl448,0.0,1,6,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65986,AdityaSingh-18,majestic-owl448,9.68,1,59,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65983,moT01,Sembauke,32.74,1,1,146,0.97,392,Core Reviewer
freeCodeCamp/freeCodeCamp,65976,majestic-owl448,raisedadead,16.58,3,1573,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65974,raisedadead,ojeytonwilliams,8.11,2,28,116,0.89,361,Core Reviewer
freeCodeCamp/freeCodeCamp,65969,ojeytonwilliams,raisedadead,8.51,1,8,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65965,AdityaSingh-18,majestic-owl448,0.59,2,122,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65962,raisedadead,ojeytonwilliams,0.13,2,26,116,0.89,361,Core Reviewer
freeCodeCamp/freeCodeCamp,65960,raisedadead,ojeytonwilliams,0.51,1,12,116,0.89,361,Core Reviewer
freeCodeCamp/freeCodeCamp,65957,Dario-DC,majestic-owl448,0.24,2,6,53,0.96,282,Core Reviewer
freeCodeCamp/freeCodeCamp,65945,shubham-t-rai,majestic-owl448,1.63,1,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65942,ojeytonwilliams,moT01,6.6,1,46,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65941,ojeytonwilliams,raisedadead,0.02,3,44,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65940,camperbot,majestic-owl448,1.32,1,1454,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65938,AdityaSingh-18,gikf,1.14,4,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65936,DanielRosa74,ojeytonwilliams,25.1,2,46,25,0.96,65,Core Reviewer
freeCodeCamp/freeCodeCamp,65933,ojeytonwilliams,raisedadead,3.56,3,2,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65899,Jeevankumar-s,majestic-owl448,21.87,2,4,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65895,camperbot,majestic-owl448,23.76,1,12758,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65885,Jeevankumar-s,majestic-owl448,0.71,5,5,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65884,Jeevankumar-s,majestic-owl448,0.06,5,4,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65881,majestic-owl448,zairahira,30.62,2,109,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65878,ojeytonwilliams,majestic-owl448,65.38,3,73,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65877,ojeytonwilliams,naomi-freecodecamp,0.28,2,284,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65876,Jeevankumar-s,majestic-owl448,0.12,7,73,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65872,majestic-owl448,Jeevankumar-s,4.06,3,114,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65871,ojeytonwilliams,Sembauke,27.97,1,7,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65870,jdwilkin4,ahmaxed,44.25,3,2412,74,0.95,601,Core Reviewer
freeCodeCamp/freeCodeCamp,65869,Sembauke,ojeytonwilliams,2.64,2,247,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65868,ojeytonwilliams,Sembauke,3.05,1,19,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65866,majestic-owl448,Jeevankumar-s,2.53,4,127,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65865,ojeytonwilliams,Sembauke,0.59,2,98,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65864,moT01,ojeytonwilliams,121.84,4,3140,146,0.97,392,Core Reviewer
freeCodeCamp/freeCodeCamp,65862,ojeytonwilliams,Sembauke,14.89,2,6,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65860,ojeytonwilliams,Sembauke,15.54,1,2335,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65858,majestic-owl448,Dario-DC,2.33,1,3,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65856,Jeevankumar-s,majestic-owl448,1.77,1,4,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65855,ojeytonwilliams,raisedadead,77.96,1,268,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65854,ojeytonwilliams,Sembauke,0.03,1,15,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65853,AdityaSingh-18,majestic-owl448,0.78,5,3,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65851,anastasiiauk,nieldakarla,252.22,2,552,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65850,Sembauke,raisedadead,79.27,1,21,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65849,Sembauke,ojeytonwilliams,2.48,1,12,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65845,miyaliu666,Sembauke,196.14,1,5,36,0.97,21,Core Reviewer
freeCodeCamp/freeCodeCamp,65844,estefaniacn,nieldakarla,17.93,1,42,41,0.95,13,Core Reviewer
freeCodeCamp/freeCodeCamp,65841,Jeevankumar-s,majestic-owl448,13.43,2,14,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65838,ojeytonwilliams,copilot-pull-request-reviewer,0.02,2,3,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65837,ojeytonwilliams,huyenltnguyen,1.88,1,1,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65835,ojeytonwilliams,huyenltnguyen,3.0,1,8,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65834,camperbot,majestic-owl448,1.23,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65831,Raam751,copilot-pull-request-reviewer,0.02,4,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65830,anastasiiauk,nieldakarla,8.73,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65829,camperbot,majestic-owl448,0.77,1,636,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65827,nguyenduybao1,majestic-owl448,1.5,2,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65821,anastasiiauk,nieldakarla,11.25,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65817,scissorsneedfoodtoo,raisedadead,19.95,1,4,16,1.0,7,Core Reviewer
freeCodeCamp/freeCodeCamp,65814,camperbot,moT01,6.58,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65813,estefaniacn,nieldakarla,0.05,1,12,41,0.95,13,Core Reviewer
freeCodeCamp/freeCodeCamp,65812,nieldakarla,DanielRosa74,0.04,2,60,27,0.89,148,Core Reviewer
freeCodeCamp/freeCodeCamp,65811,majestic-owl448,Dario-DC,18.06,6,204,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65808,AdityaSingh-18,huyenltnguyen,3.68,1,9,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65807,anastasiiauk,nieldakarla,31.47,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65803,anastasiiauk,nieldakarla,35.59,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65802,scissorsneedfoodtoo,huyenltnguyen,4.97,1,2,16,1.0,7,Core Reviewer
freeCodeCamp/freeCodeCamp,65801,AdityaSingh-18,majestic-owl448,3.53,7,8,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65799,scissorsneedfoodtoo,majestic-owl448,4.18,1,2,16,1.0,7,Core Reviewer
freeCodeCamp/freeCodeCamp,65790,estefaniacn,nieldakarla,0.47,1,1,41,0.95,13,Core Reviewer
freeCodeCamp/freeCodeCamp,65788,camperbot,majestic-owl448,7.79,1,150,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65782,anastasiiauk,nieldakarla,57.76,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65779,anastasiiauk,nieldakarla,59.86,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65770,AdityaSingh-18,majestic-owl448,0.0,4,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65768,AdityaSingh-18,zairahira,168.99,4,12,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65767,AdityaSingh-18,majestic-owl448,0.0,1,2,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65764,Sukruthr,gikf,0.12,2,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65753,FBID10,huyenltnguyen,19.02,3,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65752,Jeevankumar-s,majestic-owl448,37.34,10,37,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65751,SilentDeath53,Dario-DC,37.27,3,4,7,0.29,0,Noisy Author
freeCodeCamp/freeCodeCamp,65750,SilentDeath53,majestic-owl448,13.33,7,2,7,0.29,0,Noisy Author
freeCodeCamp/freeCodeCamp,65748,Jeevankumar-s,majestic-owl448,13.51,2,4,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65744,Jeevankumar-s,Dario-DC,1.24,3,88,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65739,Jeevankumar-s,majestic-owl448,50.61,7,32,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65737,anastasiiauk,nieldakarla,78.91,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65736,ojeytonwilliams,raisedadead,25.01,5,79,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65735,anastasiiauk,nieldakarla,80.72,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65734,ojeytonwilliams,raisedadead,0.52,1,121,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65732,anastasiiauk,nieldakarla,82.52,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65729,Sembauke,ojeytonwilliams,37.95,11,9844,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65727,huyenltnguyen,ojeytonwilliams,204.39,1,55,165,0.9,988,Core Reviewer
freeCodeCamp/freeCodeCamp,65725,bengguankoay,majestic-owl448,1.99,11,74,5,0.8,0,Reliable Author
freeCodeCamp/freeCodeCamp,65722,Sembauke,raisedadead,1.44,5,186,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65719,jeeva-004,huyenltnguyen,8.9,4,6,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65718,anastasiiauk,Sembauke,0.72,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65716,kiruthikadev-r,majestic-owl448,1.62,3,3859,3,0.67,0,Noisy Author
freeCodeCamp/freeCodeCamp,65715,ojeytonwilliams,huyenltnguyen,9.64,1,30,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65713,TheGreatAdil,Sembauke,0.41,1,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65711,huyenltnguyen,nieldakarla,115.29,3,776,165,0.9,988,Core Reviewer
freeCodeCamp/freeCodeCamp,65710,ahmaxed,huyenltnguyen,3.98,9,403,45,0.87,33,Core Reviewer
freeCodeCamp/freeCodeCamp,65709,Dario-DC,huyenltnguyen,6.98,1,8,53,0.96,282,Core Reviewer
freeCodeCamp/freeCodeCamp,65708,Dario-DC,majestic-owl448,22.42,1,158,53,0.96,282,Core Reviewer
freeCodeCamp/freeCodeCamp,65707,ojeytonwilliams,Dario-DC,0.22,1,55,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65706,camperbot,huyenltnguyen,7.06,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65705,anastasiiauk,Sembauke,21.42,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65704,anastasiiauk,Sembauke,19.43,2,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65703,anastasiiauk,Sembauke,20.21,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65701,ojeytonwilliams,majestic-owl448,0.06,1,2,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65700,Dario-DC,majestic-owl448,0.1,7,670,53,0.96,282,Core Reviewer
freeCodeCamp/freeCodeCamp,65698,ojeytonwilliams,raisedadead,0.44,1,2,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65695,ahmaxed,raisedadead,0.67,1,4,45,0.87,33,Core Reviewer
freeCodeCamp/freeCodeCamp,65694,ahmaxed,majestic-owl448,0.22,1,2,45,0.87,33,Core Reviewer
freeCodeCamp/freeCodeCamp,65687,moT01,majestic-owl448,14.4,2,5027,146,0.97,392,Core Reviewer
freeCodeCamp/freeCodeCamp,65686,Jeevankumar-s,majestic-owl448,13.29,1,92,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65681,anastasiiauk,Sembauke,40.5,1,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65680,ojeytonwilliams,huyenltnguyen,0.91,2,2,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65679,ojeytonwilliams,raisedadead,3.8,2,255,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65678,anastasiiauk,Sembauke,49.63,1,325,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65675,ShaunSHamilton,ojeytonwilliams,4.13,4,163,97,0.89,139,Core Reviewer
freeCodeCamp/freeCodeCamp,65671,huyenltnguyen,raisedadead,6.99,1,14,165,0.9,988,Core Reviewer
freeCodeCamp/freeCodeCamp,65670,huyenltnguyen,raisedadead,39.88,2,55,165,0.9,988,Core Reviewer
freeCodeCamp/freeCodeCamp,65669,ojeytonwilliams,ShaunSHamilton,0.07,3,21,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65667,huyenltnguyen,raisedadead,10.7,5,61,165,0.9,988,Core Reviewer
freeCodeCamp/freeCodeCamp,65666,Jeevankumar-s,majestic-owl448,0.77,7,2,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65665,ojeytonwilliams,raisedadead,23.41,1,460,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65663,camperbot,majestic-owl448,0.82,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65662,a2937,majestic-owl448,0.02,2,2,86,0.79,230,Core Reviewer
freeCodeCamp/freeCodeCamp,65660,ojeytonwilliams,raisedadead,0.49,1,5,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65657,camperbot,majestic-owl448,49.31,1,33784,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65655,majestic-owl448,raisedadead,1.96,3,9,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65654,anastasiiauk,Sembauke,21.24,3,325,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65652,Sembauke,ShaunSHamilton,465.86,3,44,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65650,Sembauke,huyenltnguyen,25.93,5,440,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65649,Shashikant2005,gikf,1.07,5,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65647,Sembauke,huyenltnguyen,4.38,1,9,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65642,ragini-pandey,majestic-owl448,0.25,1,2,5,0.4,0,Noisy Author
freeCodeCamp/freeCodeCamp,65629,RafaelDavisH,nieldakarla,14.43,2,32,14,0.57,0,Noisy Author
freeCodeCamp/freeCodeCamp,65628,AlexanderJGreen,raisedadead,0.0,1,2,3,0.67,0,Noisy Author
freeCodeCamp/freeCodeCamp,65624,Sembauke,raisedadead,0.0,1,5,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65620,ojeytonwilliams,raisedadead,1.07,1,76,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65619,Sembauke,huyenltnguyen,144.14,1,181,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65617,majestic-owl448,Sembauke,0.0,2,1441,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65615,majestic-owl448,raisedadead,4.03,3,4590,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65610,gbolahan507,raisedadead,2.76,2,6,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65609,abderbejaoui,a2937,0.49,5,2,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65608,AlexanderJGreen,huyenltnguyen,0.39,2,6,3,0.67,0,Noisy Author
freeCodeCamp/freeCodeCamp,65597,anastasiiauk,nieldakarla,1.76,2,325,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65596,ahmaxed,jdwilkin4,8.99,6,5595,45,0.87,33,Core Reviewer
freeCodeCamp/freeCodeCamp,65594,ojeytonwilliams,huyenltnguyen,2.88,1,57,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65593,Sembauke,ojeytonwilliams,1.73,2,22,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65592,Jeevankumar-s,huyenltnguyen,11.47,1,48,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65587,copilot-swe-agent,raisedadead,0.17,1,124,0,0.0,0,Novice
freeCodeCamp/freeCodeCamp,65586,YashhCanCode,copilot-pull-request-reviewer,0.45,2,2,5,0.6,0,Noisy Author
freeCodeCamp/freeCodeCamp,65582,camperbot,majestic-owl448,10.77,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65580,huyenltnguyen,copilot-pull-request-reviewer,0.23,2,122,165,0.9,988,Core Reviewer
freeCodeCamp/freeCodeCamp,65576,astrophileAqsa123,majestic-owl448,0.27,17,34,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65574,ojeytonwilliams,huyenltnguyen,1.95,1,28,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65569,ojeytonwilliams,ShaunSHamilton,20.9,5,157,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65567,NotchArrow,copilot-pull-request-reviewer,0.04,2,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65563,Jeevankumar-s,Dario-DC,28.28,3,10,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65561,anastasiiauk,nieldakarla,27.67,2,325,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65559,Jeevankumar-s,Dario-DC,1.23,1,10,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65557,majestic-owl448,huyenltnguyen,241.47,1,4,133,0.97,1205,Core Reviewer
freeCodeCamp/freeCodeCamp,65552,garyeung,copilot-pull-request-reviewer,9.03,4,29,15,0.87,0,Reliable Author
freeCodeCamp/freeCodeCamp,65550,ashwin-athappan,majestic-owl448,12.41,5,4,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65546,huyenltnguyen,raisedadead,8.06,1,14,165,0.9,988,Core Reviewer
freeCodeCamp/freeCodeCamp,65545,pdtrang,huyenltnguyen,3.06,1,6,109,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65543,DeveloperViraj,Sembauke,62.63,1,4,16,0.69,0,Noisy Author
freeCodeCamp/freeCodeCamp,65537,camperbot,huyenltnguyen,5.94,1,60,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65535,anastasiiauk,nieldakarla,2.63,1,2,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65533,garyeung,huyenltnguyen,16.57,1,12,15,0.87,0,Reliable Author
freeCodeCamp/freeCodeCamp,65514,raisedadead,copilot-pull-request-reviewer,44.34,3,575,116,0.89,361,Core Reviewer
freeCodeCamp/freeCodeCamp,65513,ojeytonwilliams,raisedadead,12.11,2,1095,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65511,farchettiensis,majestic-owl448,290.64,7,178,10,0.9,0,Reliable Author
freeCodeCamp/freeCodeCamp,65510,camperbot,majestic-owl448,1.93,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65509,octavio-js,majestic-owl448,2.23,1,6,10,0.8,0,Reliable Author
freeCodeCamp/freeCodeCamp,65507,its-cutie-valerie,majestic-owl448,0.12,8,30,2,1.0,0,Reliable Author
freeCodeCamp/freeCodeCamp,65505,Jeevankumar-s,jdwilkin4,36.28,5,12,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65504,AdityaSingh-18,jdwilkin4,36.24,1,8,37,0.92,2,Reliable Author
freeCodeCamp/freeCodeCamp,65502,camperbot,huyenltnguyen,5.02,1,1450,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65499,Jeevankumar-s,majestic-owl448,0.38,1,6,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65497,anastasiiauk,nieldakarla,60.03,2,105,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65495,moT01,ojeytonwilliams,4.96,2,1626,146,0.97,392,Core Reviewer
freeCodeCamp/freeCodeCamp,65485,kshitiz510,gikf,6.89,5,8,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65484,DeveloperViraj,majestic-owl448,10.75,5,10,16,0.69,0,Noisy Author
freeCodeCamp/freeCodeCamp,65473,advait122,majestic-owl448,5.35,4,4,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65466,camperbot,raisedadead,5.18,1,2,205,0.97,0,Reliable Author
freeCodeCamp/freeCodeCamp,65427,Sembauke,raisedadead,158.17,1,176,97,0.77,416,Core Reviewer
freeCodeCamp/freeCodeCamp,65426,ojeytonwilliams,raisedadead,0.14,1,531,304,0.93,223,Core Reviewer
freeCodeCamp/freeCodeCamp,65417,jimjoice2804,copilot-pull-request-reviewer,0.03,5,16,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65413,hbar1st,majestic-owl448,13.9,2,44,14,0.93,0,Reliable Author
freeCodeCamp/freeCodeCamp,65412,Roxicaro,gikf,8.12,2,2,7,0.71,0,Noisy Author
freeCodeCamp/freeCodeCamp,65410,octavio-js,a2937,2.8,2,4,10,0.8,0,Reliable Author
freeCodeCamp/freeCodeCamp,65409,Jeevankumar-s,Sembauke,13.12,1,148,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65408,Jeevankumar-s,zairahira,205.58,1,197,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65407,Jeevankumar-s,Ksound22,116.24,2,122,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65406,anastasiiauk,nieldakarla,123.67,2,325,66,0.98,22,Core Reviewer
freeCodeCamp/freeCodeCamp,65405,Jeevankumar-s,Sembauke,14.1,1,109,60,0.87,12,Core Reviewer
freeCodeCamp/freeCodeCamp,65404,ojeytonwilliams,raisedadead,0.48,1,2,304,0.93,223,Core Reviewer
