repository,pr_number,author,primary_reviewer,first_review_latency_hours,time_to_merge_hours,first_review_state,inline_comment_density,total_discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,66020,moT01,nieldakarla,0.08,0.49,APPROVED,0.0,1,12,287,0.95,958,Core Reviewer
freeCodeCamp/freeCodeCamp,66015,yeonjuan,raisedadead,2.75,2.75,APPROVED,0.0,2,222,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,66013,Sembauke,raisedadead,4.6,4.61,APPROVED,0.0,2,110,242,0.78,923,Core Reviewer
freeCodeCamp/freeCodeCamp,66012,camperbot,Sembauke,0.25,0.26,APPROVED,0.0,1,2804,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,66011,Sembauke,raisedadead,1.2,1.2,APPROVED,0.0,1,95,242,0.78,923,Core Reviewer
freeCodeCamp/freeCodeCamp,66004,MostafaElsehy,majestic-owl448,0.0,15.09,APPROVED,0.0,2,6,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65986,AdityaSingh-18,majestic-owl448,9.68,57.68,APPROVED,0.0,1,59,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65983,moT01,Sembauke,32.74,80.75,APPROVED,0.0,1,1,287,0.95,958,Core Reviewer
freeCodeCamp/freeCodeCamp,65976,majestic-owl448,raisedadead,16.58,16.58,APPROVED,0.0013,3,1573,228,0.96,1798,Core Reviewer
freeCodeCamp/freeCodeCamp,65974,raisedadead,ojeytonwilliams,8.11,12.03,APPROVED,0.0,2,28,133,0.88,520,Core Reviewer
freeCodeCamp/freeCodeCamp,65969,ojeytonwilliams,raisedadead,8.51,8.52,APPROVED,0.0,1,8,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65965,AdityaSingh-18,majestic-owl448,0.59,0.83,APPROVED,0.0,3,122,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65962,raisedadead,ojeytonwilliams,0.13,0.54,APPROVED,0.0,2,26,133,0.88,520,Core Reviewer
freeCodeCamp/freeCodeCamp,65960,raisedadead,ojeytonwilliams,0.51,1.19,APPROVED,0.0,1,12,133,0.88,520,Core Reviewer
freeCodeCamp/freeCodeCamp,65957,Dario-DC,majestic-owl448,0.24,5.29,APPROVED,0.0,2,6,147,0.98,565,Core Reviewer
freeCodeCamp/freeCodeCamp,65950,Jeevankumar-s,raisedadead,15.36,55.07,APPROVED,0.0,2,282,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65949,Dario-DC,majestic-owl448,22.38,46.07,APPROVED,0.0667,5,15,147,0.98,565,Core Reviewer
freeCodeCamp/freeCodeCamp,65948,CaliYost,majestic-owl448,1.02,1.49,APPROVED,0.0,7,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65947,ojeytonwilliams,raisedadead,10.99,10.99,APPROVED,0.0,1,11,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65946,vicgolding,raisedadead,0.71,134.95,APPROVED,0.0462,6,65,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65945,shubham-t-rai,majestic-owl448,1.63,2.1,APPROVED,0.0,1,2,1,1.0,0,Novice
